194255,u01a1,60,1/1/2017
174556,u02a1,70,1/15/2017
126847,u03a1,86,2/3/2017
168921,u04a1,70,2/18/2017
114104,u05a1,100,3/5/2017
119096,u06a1,61,3/20/2017
122513,u07a1,60,4/7/2017
152668,u08a1,57,4/22/2017
168921,u09a1,63,5/9/2017
128902,u10a1,41,5/24/2017
172602,u01a1,63,1/11/2017
119306,u02a1,96,1/25/2017
168995,u03a1,69,2/13/2017
142327,u04a1,52,2/28/2017
127941,u05a1,80,3/1/2017
119339,u06a1,68,3/16/2017
176202,u07a1,69,4/3/2017
192055,u08a1,66,4/18/2017
119306,u09a1,70,5/5/2017
190094,u10a1,84,5/20/2017
174556,u01a1,100,1/7/2017
124093,u02a1,56,1/21/2017
158762,u03a1,100,2/9/2017
194255,u04a1,42,2/24/2017
148259,u05a1,65,3/11/2017
136507,u06a1,86,3/26/2017
167966,u07a1,77,4/13/2017
158762,u08a1,56,4/28/2017
139132,u09a1,100,5/1/2017
150111,u10a1,60,5/16/2017
144384,u01a1,100,1/3/2017
157312,u02a1,68,1/17/2017
158821,u03a1,100,2/5/2017
176202,u04a1,73,2/20/2017
109260,u05a1,91,3/7/2017
157394,u06a1,30,3/22/2017
133074,u07a1,76,4/9/2017
158821,u08a1,85,4/24/2017
169261,u09a1,68,5/11/2017
104228,u10a1,34,5/26/2017
164734,u01a1,64,1/13/2017
133074,u02a1,60,1/27/2017
167662,u03a1,100,2/1/2017
163013,u04a1,63,2/16/2017
198101,u05a1,62,3/3/2017
110640,u06a1,72,3/18/2017
167662,u07a1,100,4/5/2017
198101,u08a1,47,4/20/2017
152668,u09a1,74,5/7/2017
175836,u10a1,61,5/22/2017
158762,u01a1,64,1/9/2017
111605,u02a1,60,1/23/2017
174383,u03a1,77,2/11/2017
126039,u04a1,77,2/26/2017
109260,u05a1,98,3/13/2017
164734,u06a1,58,3/28/2017
107850,u07a1,100,4/1/2017
120046,u08a1,47,4/16/2017
148259,u09a1,57,5/3/2017
101988,u10a1,34,5/18/2017
196871,u01a1,53,1/5/2017
